,ID,index.w.qrt,MMR,ANC,UAB,index.w.z
2,BUENOS AIRES,1,34,68.6,66,-1.034799209
3,CORDOBA,1,28,65.4,76,-0.604330067
5,SANTA FE,2,16,74.1,72,0.01242387
1,CABA,3,15,71.9,74.2,0.025718213
4,LA PAMPA,3,0,79.6,92.9,1.600987192
