"","ID","MMR","ANC","UAB","index.w.z","index.w.qrt"
"1","CATAMARCA",105,64.4,72.5,-0.991520077558741,1
"2","JUJUY",32,71.7,77.7,0.95725431809156,3
"3","SALTA",65,59.1,72.1,-0.745624360362235,1
"4","SANTIAGO DEL ESTERO",29,58.4,70,-0.397608785870965,2
"5","TUCUMAN",28,62.6,87.6,1.17749890570038,3
