"","ID","MMR","ANC","UAB","index.w.z","index.w.qrt"
"1","CENTRO",18.6,71.92,76.22,0.785171488899874,3
"2","CUYO",46,71.175,86.925,0.394389670239527,2
"3","NORESTE",54,63.68,53.6,-1.46561137048589,1
"4","NOROESTE",51.8,63.24,75.98,-0.577749987550669,1
"5","PATAGONIA",24.8,77.18,75.9,0.863800198897162,3
